ID,US ID,Process Flow,RFP/NEW,Priority,Epic ,New Epic,Feature,Story,Efforts ,Efforts in person-days - Final,Sprint #,JIRA ID,,,,,,,,,,Don't Delete,Don't Delete,Efforts ,New Epics
Req_092,Req_092_001,T1 Inbound,RFP,Priority 3,Case management,Data integration,Case management,Customer's Loyalty score should be visible to Agent,21,,,PR09918-184,PR09918-184,,,,,,,,,Req_092,Req_092,21,Data integration
Req_030,Req_030_001,T1 Inbound,RFP,Priority 1,Automatic Case Routing and Tracking,Case Assignment,Automatic Case Routing and Tracking,Auto route the case to the previous agent,5,,Sprint 1,PR09918-60,PR09918-60,,,,,,,,,Req_030,Req_030,5,Case Assignment
"Req_1010
PP_059
PP_015
Req_113(T2 - Critical Backorder)",Req_113_001,"T1 Inbound
T2 - Critical Backorder",RFP,Priority 1,Case Management,Case Management,Increased Agent Productivity,Creation of Standard Email Templates for Select High-Value Case Types,3,3,,PR09918-176,#N/A,,,,,,,,,Req_113,Req_113,3,Case Management
Req_007,Req_007_001,T1 Inbound,RFP,Priority 1,Case Management,Quick case,Case management,Create a quick case in CRRS without customer/vechicle information,3,3,Sprint 1,PR09918-174,PR09918-174,,,,,,,,,Req_007,Req_007,3,Quick case
Req_013,Req_013_001,T1 Inbound,RFP,Priority 1,Case Management,Case Management,Case management,Create a case in CRRS using different case types,5,5,,PR09918-65,PR09918-65,,,,,,,,,Req_013,Req_013,5,Case Management
Req_021,Req_021_001,T1 Inbound,RFP,Priority 1,Case Management,Case Management,Case management,Edit/modify a case in CRRS,3,3,,PR09918-64,PR09918-64,,,,,,,,,Req_021,Req_021,3,Case Management
Req_044,Req_044_001,T1 Inbound,RFP,Priority 1,Case Management,Case Management,Increased Agent Productivity,Case Management - Issue coding,2,2,,PR09918-61,PR09918-61,,,,,,,,,Req_044,Req_044,2,Case Management
"Req_022
PP_012",Req_022_001,T1 Inbound,RFP,Priority 2,Case Management - Automation,Data integration,Integration customer data ,Integrated warranty and customer information,13,13,,PR09918-90,#N/A,,,,,,,,,Req_022,Req_022,13,Data integration
"Req_023
PP_012",Req_023_001,"T1 Inbound


T1 Power Sports/Equipment",RFP,Priority 2,Case Management - Automation,Data integration,Integration Campaign data,Integrated warranty and campaign  information,21,21,,PR09918-91,#N/A,,,,,,,,,Req_023,Req_023,21,Data integration
Req_076,Req_076_001,T1 Inbound,RFP,Priority 2,Case Management - Automation,Einstein AI,Case Management - Automation,Suggest the next best action on the case,42,42,,PR09918-124,PR09918-124,,,,,,,,,Req_076,Req_076,42,Einstein AI
Req_081,Req_081_001,T1 Inbound,RFP,Priority 1,Case Management - Automation,Case Management,Customer Self-service,Auto populating vehicle information,0,,Sprint 1,PR09918-58,PR09918-58,,,,,,,,,Req_081,Req_081,0,Case Management
Req_089,Req_089_001,T1 Inbound,RFP,Priority 1,Case Management - Automation,Case Management - Automation,Case Management - Automation,Validation for case completion,3,3,Sprint 1,PR09918-100,PR09918-100,,,,,,,,,Req_089,Req_089,3,Case Management - Automation
Req_095,Req_095_001,T1 Inbound,RFP,Priority 1,Case Management - Automation,Case Management - Automation,Case Management - Automation,Agent assist features,0,,,PR09918-101,PR09918-101,,,,,,,,,Req_095,Req_095,0,Case Management - Automation
Req_096,Req_096_001,T1 Inbound,RFP,Priority 1,Case Management - Automation,Customer Self-service ,Customer Self-service ,Automated resolutions for customers,0,,,PR09918-112,PR09918-112,,,,,,,,,Req_096,Req_096,0,Customer Self-service 
"Req_1008

PP_009
PP_007",Req_1008_001,T1 Inbound,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,Increased Agent Productivity,Capture the notes during the case closure process for any case type,5,5,Sprint 1,PR09918-84,#N/A,,,,,,,,,Req_1008,Req_1008,5,Case Management
"Req_040
PP_016
PP_044(Powersports.
Req_047(DCR Live chat)",Req_040_001,T1 Inbound,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,Increased Agent Productivity,Implement Auto-Save Functionality for Call Notes,3,3,Sprint 1,PR09918-143,PR09918-72,,,,,,,,,Req_040,Req_040,3,Case Management
"Req_032
Req_033
",Req_033_001,T1 Inbound,RFP,Priority 1,Case Management - Call Wrap-up,Case Management,Increased Agent Productivity,Case Management - Call Wrap-up,3,3,Sprint 1,PR09918-63,PR09918-161,,,,,,,,,Req_033,Req_033,3,Case Management
